PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE ,ORBIT UPDATES
2002-10-28.27,C/2002 U6 SOHO-535,R. Kracht,C2,0.0359,8025 8026
2002-11-09.72,C/2002 V4 SOHO-540,R. Kracht,C2,0.0357,8073
2002-12-02.44,C/2002 X6 SOHO-563,R. Kracht,C2,0.0346,8073
2002-12-19.79,C/2002 Y2 SOHO-576,R. Matson,C2,0.0400,8073
2003-01-17.08,C/2003 B1 SOHO-581,X.-M. Zhou,C2 C3,0.0355,8065
2003-04-27.48,C/2003 H5 SOHO-599,R. Kracht,C2,0.0351,8178
2003-05-21.35,C/2003 K5 SOHO-613,X. Leprette,C2,0.0348,8179
2003-05-30.12,C/2003 K6 SOHO-621,X.-M. Zhou,C2,0.0372,8179
2003-10-21.21,C/2003 U4 SOHO-680,R. Matson,C2,0.0357,8340
2003-11-29.92,C/2003 W2 SOHO-696,X.-M. Zhou,C2,0.0314,8341
2003-12-20.50,C/2003 Y1 SOHO-711,M. Meyer,C2 C3,0.0354,8341
2004-01-29.11,C/2004 B2 SOHO-736,R. Kracht,C2,0.0353,8336
2004-02-05.14,C/2004 C2 SOHO-735,X. Leprette,C2,0.0325,8336
2004-04-10.13,C/2004 G2 SOHO-754,T. Hoffman,C2,0.0383,8327
2004-04-16.86,C/2004 H4 SOHO-760,R. Kracht,C2,0.0343,8336
2004-04-30.72,C/2004 H5 SOHO-764,K. Battams,C2,0.0335,8336
2004-10-09.10,C/2004 T2 SOHO-843,R. Kracht,C2,0.0346, 
2004-10-18.63,C/2004 U3 SOHO-847,K. Battams,C2,0.0375, 
2005-01-30.81,C/2005 B4 SOHO-904,B. Zhou,C2,0.0353, 
2005-02-02.30,C/2005 C1 SOHO-905,H. Su,C2,0.0392, 
2005-04-17.81,C/2005 H2 SOHO-943,H. Su,C2,0.0362, 
2005-04-29.03,C/2005 H9 SOHO-950,B. Zhou,C2,0.0352, 
2005-05-16.37,C/2005 K4 SOHO-961,R. Kracht,C2,0.0373, 
2005-05-28.22,C/2005 K9 SOHO-968,R. Kracht,C2,0.0354, 
2005-07-26.29,C/2005 O5 SOHO-998,T. Hoffman,C2,0.0361, 
2005-08-23.21,C/2005 Q2 SOHO-1006,T. Hoffman,C2,0.0377, 
2005-08-25.37,C/2005 Q8 SOHO-1008,H. Su,C2,0.0377, 
2005-10-08.28,C/2005 T9 SOHO-1029,H. Su,C2,0.0368, 
2005-11-19.67,C/2005 W9 SOHO-1052,H. Su,C2,0.0370, 
2005-11-20.18,C/2005 W11 SOHO-1054,H. Su,C2,0.0396, 
2005-12-25.13,C/2005 Y8 SOHO-1076,R. Kracht,C2,0.0338, 
2006-01-26.58,C/2006 B4 SOHO-1092,H. Su,C2,0.0371, 
2006-03-23.04,C/2006 F6 SOHO-1116,T. Hoffman,C2,0.0333, 
2006-05-08.17,C/2006 J5 SOHO-1131,H. Su,C2,0.0387, 
2006-09-02.73,C/2006 R3 SOHO-1186,H. Su,C2,0.0337, 
2006-10-20.22,C/2006 U10 SOHO-1205,T. Hoffman,C2,0.0346, 
2006-12-15.61,C/2006 X10 SOHO-1236,R. Kracht,C2,0.0382, 
2007-01-11.24,C/2007 A06 SOHO-1256,T. Hoffman,C2,0.0382, 
2007-02-07.24,C/2007 C10 SOHO-1267,H. Su,C2,0.0342, 
2007-02-28.57,C/2007 F04 SOHO-1278,B.Zhou,C2 C3,0.0347, 
2007-05-02.95,C/2007 J01 SOHO-1287,R.Kracht,C2 C3,0.0348, 
2007-05-18.61,C/2007 K12 SOHO-1308,H.Su,C2,0.0346, 
2007-09-15.01,C/2007 R10 SOHO-1356,A.Kubczak,C2,0.0370, 
2007-10-27.31,C/2007 U07 SOHO-1379,H.Su,C2,0.0325, 
2007-11-09.49,C/2007 V10 SOHO-1392,Z.Jin,C2,0.0350, 
2007-12-10.55,C/2007 X07 SOHO-1412,H.Su,C2,0.0378, 
2007-12-14.29,C/2007 X14 SOHO-1419,T.Hoffman,C2,0.0345, 
2007-12-28.18,C/2007 Y08 SOHO-1426,R.Kracht,C2,0.0344, 
2008-02-19.29,C/2008 D06 SOHO-1442,T.Hoffman,C2,0.0338, 
2008-03-20.01,C/2008 F01 SOHO-1450,R.Kracht,C2,0.0318, 
2008-04-18.52,C/2008 H04 SOHO-1457,R.Kracht,C2,0.0373, 
2008-05-07.24,C/2008 J10 SOHO-1466,J.Ruan,C2,0.0369, 
2008-05-08.29,C/2008 J12 SOHO-1468,S.Yuan,C2 C3,0.0379, 
2008-05-26.01,C/2008 K7 SOHO-1479,J.Ruan,C2,0.0371, 
2008-06-13.12,C/2008 L11 SOHO-1491,M.Kusiak,C2 C3,0.0347, 
2008-06-15.94,C/2008 L15 SOHO-1495,R.Kracht,C2,0.0365, 
2008-10-02.48,C/2008 T06 SOHO-1537,B.Zhou,C2,0.0319, 
2008-10-18.51,C/2008 U06 SOHO-1548,M.Kusiak,C2,0.0390, 
2008-11-04.82,C/2008 V02 SOHO-1560,R.Kracht,C2,0.0384, 
2008-12-07.59,C/2008 X05 SOHO-1581,R.Kracht,C2,0.0342, 
2009-01-29.40,C/2009 B10 SOHO-1605,Z.Xu,C2,0.0355, 
2009-02-24.92,C/2009 D06 SOHO-1615,R.Kracht,C2,0.0351, 
2009-02-26.25,C/2009 D08 SOHO-1616,B.Zhou,C2,0.0338, 
2009-03-11.07,C/2009 E03 SOHO-1619,E.Banach,C2,0.0324, 
2009-,C/2009 SOHO-1700,B.Zhou,C3,   , 
2009-,C/2009 SOHO-1714,B.Zhou,C2,   , 
2009-,C/2009 SOHO-1768,B.Zhou,C2,   , 
2009-,C/2009 SOHO-1779,J.Ruan,C2 C3,   , 
2009-,C/2009 SOHO-1792,A.Kubczak,C2,   , 
2009-,C/2009 SOHO-1821,M.Kusiak,C2,   , 
2009-,C/2009 SOHO-1826,M.Kusiak,C2,   , 
2010-,C/2010 SOHO-1870,R.Kracht,C2,   , 
2010-,C/2010 SOHO-1896,R.Kracht,C2,   , 
2010-,C/2010 SOHO-1915,J.Ruan,C2,   , 
2010-,C/2010 SOHO-1923,M.Kusiak,C2,   , 
2010-,C/2010 SOHO-1925,B.Zhou,C2,   , 
2010-,C/2010 SOHO-1944,M.Uchina,C2,   , 
2010-,C/2010 SOHO-1952,R.Kracht,C2,   , 
2010-,C/2010 SOHO-1958,R.Matson,C2,   , 
2010-,C/2010 SOHO-1959,M.Uchina,C2,   , 
2011 ,C/2011 SOHO-2008 ,M.Uchina ,C2 ,   , 
2011 ,C/2011 SOHO-2030 ,M.Uchina ,C3/C2 ,   , 
2011 ,C/2011 SOHO-2043 ,S.Liwo ,C2 ,   , 
2011 ,C/2011 SOHO-2046 ,M.Kusiak ,C2 ,   , 
2011 ,C/2011 SOHO-2059 ,Z.Xu ,C2 ,   , 
2011 ,C/2011 SOHO-2080 ,R.Kracht ,C2 ,   , 
2011 ,C/2011 SOHO-2083 ,M.Kusiak ,C2 ,   , 
2011 ,C/2011 SOHO-2110 ,M.Uchina ,C2 ,   , 
2011 ,C/2011 SOHO-2113 ,S.Schmalz ,C2 ,   , 
2011 ,C/2011 SOHO-2114 ,Z.Xu ,C2 ,   , 
2011 ,C/2011 SOHO-2141 ,B.Zhou ,C2 ,   , 
2011 ,C/2011 SOHO-2208 ,S.Schmalz ,C2 ,   , 
2012 ,C/2012 SOHO-2220 ,R.Matson ,C2 ,   , 
2012 ,C/2012 SOHO-2231 ,Z.Xu ,C2 C3 ,   , 
2012 ,C/2012 SOHO-2235 ,S.Schmalz ,C2 ,   , 
2012 ,C/2012 SOHO-2239 ,S.Liwo ,C2 ,   , 
2012 ,C/2012 SOHO-2247 ,K.Kida ,C2 C3 ,   , 
2012 ,C/2012 SOHO-2251 ,B.Zhou ,C2 ,   , 
2012 ,C/2012 SOHO-2259 ,Schmalz,Liwo ,C2 ,   , 
2012 ,C/2012 SOHO-2265 ,K.Kida ,C2 ,   , 
2012 ,C/2012 SOHO-2268 ,S.Schmalz ,C2 ,   , 
2012 ,C/2012 SOHO-2336 ,P.Sun ,C2 ,   , 
2012 ,C/2012 SOHO-2341 ,Z.Xu ,C2 C3 ,   , 
2012 ,C/2012 SOHO-2349 ,S.Schmalz ,C2 ,   , 
2012 ,C/2013 SOHO-2355 ,S.Liwo,Z.Xu ,C2 ,   , 
2012 ,C/2012 SOHO-2363 ,Z.Xu ,C2 C3 ,   , 
2012 ,C/2012 SOHO-2386 ,Z.Xu ,C2 ,   , 
2012 ,C/2012 SOHO-2415 ,Z.Xu ,C2 ,   , 
2012 ,C/2012 SOHO-2421 ,Z.Xu ,C2 ,   , 
2012 ,C/2012 SOHO-2428 ,Z.Xu ,C2 ,   , 
2013 ,C/2013 SOHO-2450 ,P.Sun ,C2 ,   , 
2013 ,C/2013 SOHO-2461 ,B.Zhou ,C2 ,   , 
2013 ,C/2013 SOHO-2479 ,Z.Xu ,C2 C3 ,   , 
2013 ,C/2013 SOHO-2501 ,B.Zhou ,C2 ,   , 
2013 ,C/2013 SOHO-2540 ,Z.Xu ,C2 ,   , 
2013 ,C/2013 SOHO-2562 ,P.Maysonet ,C2 C3 ,   , 
2013 ,C/2013 SOHO-2564 ,J.Zhu ,C2 ,   , 
2013 ,C/2013 SOHO-2568 ,M.Uchina ,C2 ,   , 
2013 ,C/2013 SOHO-2588 ,Z.Xu ,C2 ,   , 
2013 ,C/2013 SOHO-2592 ,Z.Xu ,C2 ,   , 
2013 ,C/2013 SOHO-2602 ,P.Sun ,C2 ,   , 
2013 ,C/2013 SOHO-2604 ,S.Liwo ,C2 ,   , 
2013 ,C/2013 SOHO-2657 ,P.Sun ,C2 ,   , 
2014 ,C/2014 SOHO-2659 ,Z.Xu ,C2 ,   , 
2014 ,C/2014 SOHO-2665 ,M.Uchina ,C2 ,   , 
2014 ,C/2014 SOHO-2667 ,Z.Xu ,C2 ,   , 
2014 ,C/2014 SOHO-2671 ,M.Uchina ,C2 ,   , 
2014 ,C/2014 SOHO-2675 ,M.Uchina ,C2 ,   , 
2014 ,C/2014 SOHO-2685 ,P.Sun ,C2 ,   , 
2014 ,C/2014 SOHO-2737 ,P.Sun ,C2 ,   , 
2014 ,C/2014 SOHO-2746 ,Z.Xu ,C2 ,   , 
2014 ,C/2014 SOHO-2770 ,W.Boonplod ,C2 ,   , 
2014 ,C/2014 SOHO-2782 ,Z.Xu ,C2 ,   , 
2014 ,C/2014 SOHO-2787 ,Z.Xu ,C2 ,   , 
2014 ,C/2014 SOHO-2806 ,S.Liwo ,C2 ,   , 
2014 ,C/2014 SOHO-2816 ,W.Boonplod ,C2 ,   , 
2014 ,C/2014 SOHO-2820 ,Z.Xu ,C2 ,   , 
2014 ,C/2014 SOHO-2831 ,M.Biesiada ,C2 ,   , 
2014 ,C/2014 SOHO-2834 ,B.Zhou ,C2 ,   , 
2014 ,C/2014 SOHO-2860 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2866 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2868 ,Z.Xu ,C2 C3 ,   , 
2015 ,C/2015 SOHO-2884 ,W.Boonplod ,C2 C3 ,   , 
2015 ,C/2015 SOHO-2886 ,Boonplod,Sun,Liwo ,C2 ,   , 
2015 ,C/2015 SOHO-2887 ,S.Liwo ,C2 ,   , 
2015 ,C/2015 SOHO-2902 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2911 ,Z.Xu ,C2 ,   , 
2015 ,C/2015 SOHO-2922 ,S.Liwo ,C2 ,   , 
2015 ,C/2015 SOHO-2927 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2941 ,J.Ruan ,C2 ,   , 
2015 ,C/2015 SOHO-2952 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2958 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2974 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2978 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2990 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-2991 ,M.Biesiada ,C2 ,   , 
2015 ,C/2015 SOHO-2993 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-3013 ,B.Zhou ,C2 ,   , 
2015 ,C/2015 SOHO-3052 ,W.Boonplod ,C2 ,   , 
2015 ,C/2015 SOHO-3061 ,B.Zhou ,C2 ,   , 
2015 ,C/2015 SOHO-3070 ,T.Prestgard ,C2 ,   , 
2015 ,C/2015 SOHO-3076 ,B.Zhou ,C2 ,   , 
2016 ,C/2016 SOHO-3091 ,B.Zhou ,C2 ,   , 
2016 ,C/2016 SOHO-3096 ,B.Zhou ,C2,,
