PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE ,ORBIT UPDATES ,Auto/Vis. Disc.
1997-09-17.03,C/1997 R3 SOHO-29,S. Stezelberger,C2 C3,0.0054,6745,V
1997-09-20.22,C/1997 S5 SOHO-922,R. Kracht,C3,0.0058, ,V
1997-09-24.75,C/1997 S3 SOHO-274,X. Leprette,C2,0.0053,7560,V
1997-09-26.45,C/1997 S2 SOHO-40,D. Biesecker,C2 C3,0.0078,6813,A
1997-09-30.83,C/1997 S1 SOHO-30,D. Biesecker,C2 C3,0.0074,6750,V
1997-10-02.30,C/1997 T6 SOHO-218,M. Oates,C2,0.0050,7517,V
1997-10-,C/1997 SOHO-1902,J. Ruan,C3,, ,V
1997-10-04.32,C/1997 T2 SOHO-31,D. Lewis,C2 C3,0.0044,6754,V
1997-10-06.89,C/1997 T4 SOHO-32,D. Biesecker,C2 C3,0.0058,6759,V
1997-10-07.99,C/1997 T5 SOHO-33,D. Biesecker,C2 C3,0.0051,6759,V
1997-10-08.66,C/1997 T7 SOHO-219,X. Leprette,C2,0.0051,7517,V
1997-10-09.04,C/1997 T8 SOHO-220,M. Oates,C2,0.0052,7519,V
1997-10-17.53,C/1997 U2 SOHO-222,M. Oates,C2,0.0051,7519,V
1997-10-20.60,C/1997 U3 SOHO-223,M. Oates,C2,0.0052,7519,V
1997-10-22.29,C/1997 U4 SOHO-224,M. Oates,C2,0.0050,7519,V
1997-10-27.20,C/1997 U5 SOHO-225,M. Oates,C2,0.0051,7519,V
1997-10-27.21,C/1997 U6 SOHO-226,M. Oates,C2,0.0051,7519,V
1997-10-28.02,C/1997 U7 SOHO-227,M. Oates,C2,0.0051,7519,V
1997-10-29.05,C/1997 U1 SOHO-41,D. Biesecker,C3,0.0052,6825,A
1997-11-02.20,C/1997 V3 SOHO-229,M. Oates,C2,0.0075,7534,V
1997-11-03.94,C/1997 V4 SOHO-230,M. Oates,C2,0.0050,7534,V
1997-11-07.08,C/1997 V8 SOHO-1101,R. Kracht,C3,0.0080, ,V
1997-11-08.90,C/1997 V5 SOHO-231,M. Oates,C2,0.0085,7534,V
1997-11-09.23,C/1997 V6 SOHO-232,M. Oates,C2,0.0054,7534,V
1997-11-09.56,C/1997 V2 SOHO-34,D. Lewis,C2 C3,0.0067,6771,V
1997-11-20.05,C/1997 W2 SOHO-42,D. Biesecker,C3,0.0050,6837,A
1997-11-23.43,C/1997 W1 SOHO-35,S. Stezelberger,C2 C3,0.0055,6781,V
1997-11-25.22,C/1997 W3 SOHO-334,X. Leprette,C2,0.0073,7650,V
1997-12-02.96,C/1997 X1 SOHO-36,S. Stezelberger,C2 C3,0.0051,6781,V
1997-12-03.40,C/1997 X3 SOHO-233,X. Leprette,C2,0.0055,7534,V
1997-12-03.47,C/1997 X4 SOHO-234,X. Leprette,C2,0.0054,7534,V
1997-12-06.74,C/1997 X5 SOHO-235,X. Leprette,C2,0.0058,7534,V
1997-12-10.77,C/1997 X6 SOHO-237,X. Leprette,C2,0.0066,7534,V
1997-12-21.20,C/1997 Y1 SOHO-239,X. Leprette,C2,0.0054,7534,V
1997-12-21.72,C/1997 Y2 SOHO-240,X. Leprette,C2,0.0054,7536,V
1997-12-23.21,C/1997 Y3 SOHO-241,X. Leprette,C2,0.0066,7536,V
